title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Environment - Apple,https://www.apple.com/environment/,21.4,0,27,0,12,16,4,15,37,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Wanda Austin to join Apple’s board of directors - Apple,https://www.apple.com/newsroom/2024/01/wanda-austin-to-join-apples-board-of-directors,21.4,2,7,5,4,0,0,0,7,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Education - Apple,https://www.apple.com/education-initiative,20.1,0,38,2,13,3,10,2,12,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Store Roles and Opportunities - Careers at Apple,https://www.apple.com/careers/us/work-at-apple/retail.html,19.3,0,16,4,3,0,18,2,24,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Healthcare - Apple,https://www.apple.com/healthcare,18.9,0,35,0,0,0,9,7,13,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Racial Equity and Justice Initiative - Apple,https://www.apple.com/racial-equity-justice-initiative,18.9,0,11,0,10,3,12,0,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Inclusion & Diversity - Apple,https://www.apple.com/diversity,18.2,0,13,0,0,0,6,1,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Card - Apple,https://www.apple.com/apple-card,17.0,0,14,0,0,2,8,8,10,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Roles and Opportunities - Careers at Apple,https://www.apple.com/careers/us,16.9,0,15,0,5,1,4,2,6,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Vision Pro - Technical Specifications - Apple,https://www.apple.com/apple-vision-pro/specs,16.9,0,19,2,1,1,0,4,5,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Diversity Network Associations - Careers at Apple,https://www.apple.com/careers/us/dna.html,16.1,0,9,2,1,0,4,2,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Monica Lozano joins Apple’s board of directors - Apple,https://www.apple.com/newsroom/2021/01/monica-lozano-joins-apples-board-of-directors,15.7,0,9,7,1,0,1,0,2,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Alex Gorsky joins Apple’s board of directors - Apple,https://www.apple.com/newsroom/2021/11/alex-gorsky-joins-apples-board-of-directors,15.4,0,10,4,0,1,3,0,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Trade In - Apple,https://www.apple.com/recycling,14.7,0,9,0,11,1,0,0,3,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Vision Pro for Business - Apple,https://www.apple.com/business/enterprise/apple-vision-pro,13.8,0,14,0,1,0,18,3,19,4,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Site Map - Apple,https://www.apple.com/sitemap,13.5,0,78,2,3,1,2,0,18,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Accessibility - Apple,https://www.apple.com/accessibility,13.5,0,30,0,0,1,0,6,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Student Jobs and Internships - Careers at Apple,https://www.apple.com/careers/us/work-at-apple/students.html,12.8,0,16,0,0,1,8,0,11,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Privacy - Apple,https://www.apple.com/privacy,12.6,0,19,0,0,2,5,2,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Deirdre O’Brien - Apple,https://www.apple.com/leadership/deirdre-obrien,12.5,0,4,1,0,1,5,1,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Employee Benefits - Careers at Apple,https://www.apple.com/careers/us/life-at-apple/benefits.html,12.2,0,7,0,2,1,11,0,2,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Eddy Cue - Apple,https://www.apple.com/leadership/eddy-cue,12.0,0,7,1,1,0,0,0,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Supply Chain Innovation - Apple,https://www.apple.com/supply-chain,11.1,0,7,0,0,0,2,2,6,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Environment - Answers - Apple,https://www.apple.com/environment/answers,11.0,0,3,2,4,0,1,1,6,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
K–12 Education - Apple,https://www.apple.com/education/k12/how-to-buy,10.6,0,9,0,0,2,0,3,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Government - Apple,https://www.apple.com/government,10.5,0,11,0,0,1,2,3,10,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Podcasts - Apple,https://www.apple.com/apple-podcasts,10.3,0,10,0,0,4,2,2,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Sabih Khan - Apple,https://www.apple.com/leadership/sabih-khan,10.0,0,4,0,3,0,0,0,7,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple News+ - All Publications - Apple,https://www.apple.com/apple-news/publications,9.8,0,5,0,0,2,0,1,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
2019_10K_2019-10-31_full_submission,,9.8,0,6,0,0,25,0,0,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2019_10K_2019-10-31_full_submission.txt
Ethics and Compliance - Policies - Apple,https://www.apple.com/compliance/policies,9.5,0,5,0,0,0,4,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple One - Apple,https://www.apple.com/apple-one,9.3,0,5,0,0,1,0,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Fitness+ - Apple,https://www.apple.com/apple-fitness-plus,9.2,0,2,0,0,0,0,4,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Contact - How to Contact Us - Apple,https://www.apple.com/contact,9.1,0,13,0,0,0,5,0,27,5,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Watch - Apple,https://www.apple.com/watch,9.0,0,6,0,0,0,2,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
App Store - Apple,https://www.apple.com/app-store,8.8,0,3,0,0,0,1,4,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Buy Apple Vision Pro Accessories - Apple,https://www.apple.com/us/shop/goto/vision/accessories,8.8,0,12,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Vision Pro - Apple,https://www.apple.com/apple-vision-pro,8.6,0,8,1,0,0,1,0,7,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Small Business and Apple Retail - Apple,https://www.apple.com/retail/business,8.6,0,7,0,0,6,1,1,6,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Legal - Website Terms of Use - Apple,https://www.apple.com/legal/internet-services/terms/site.html,8.4,0,6,0,2,0,0,2,33,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Government Purchase Program - Shopping Agreement - Apple,https://www.apple.com/us_epp_67909/store,8.4,0,0,0,10,1,3,0,4,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
"Apple Accessories for Apple Watch, iPhone, iPad, Mac and Vision Pro - Apple",https://www.apple.com/us/shop/goto/buy_accessories,8.4,0,16,1,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Financing and Credit - Apple,https://www.apple.com/us/shop/goto/payment_plan,8.2,0,3,0,0,0,2,0,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Intelligence - Apple,https://www.apple.com/apple-intelligence,8.1,0,4,0,2,0,0,3,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
