title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Supporting STEM education in New Mexico — Chevron,https://www.chevron.com/newsroom/2025/q4/supporting-stem-education-in-new-mexico,26.7,2,13,0,9,12,7,1,2,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Who We Are — Chevron,https://www.chevron.com/who-we-are,26.4,2,8,2,0,1,10,7,15,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Chevron Corporate Governance — Chevron,https://www.chevron.com/investors/corporate-governance,25.8,0,9,13,8,5,30,1,5,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
The Chevron Way — Our Vision & Values — Chevron,https://www.chevron.com/who-we-are/culture/the-chevron-way,25.3,5,6,0,1,0,4,5,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Chevron Website Site Map — Chevron,https://www.chevron.com/global-pages/site-map,23.5,3,9,1,2,14,4,2,4,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Chevron announces senior leadership changes — Chevron,https://www.chevron.com/newsroom/2026/q1/chevron-announces-senior-leadership-changes,23.5,0,8,0,4,1,7,7,7,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Social Investment | Chevron — Chevron,https://www.chevron.com/sustainability/social-investment,23.3,0,21,0,6,20,4,1,4,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Chevron enters Libya with new block award as part of broader exploration growth strategy — Chevron,https://www.chevron.com/newsroom/2026/q1/chevron-enters-libya-with-new-block-award-as-part-of-broader-exploration-growth-strategy,22.7,0,8,2,9,3,0,6,7,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
Chevron Diversity & Inclusion Policy — Chevron,https://www.chevron.com/sustainability/social/diversity-inclusion,22.5,0,10,1,4,0,14,2,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
"Chevron, Engine No. 1 and GE Vernova To Power U.S. Data Centers — Chevron",https://www.chevron.com/newsroom/2025/q1/power-solutions-for-us-data-centers,22.5,0,17,3,5,10,4,6,15,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Chevron_Corporation\pages.csv
