title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Cisco Purpose - Power an Inclusive Future for All - Cisco,https://www.cisco.com/site/us/en/about/purpose/index.html,36.9,7,22,3,5,9,18,3,20,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Purpose Reporting Hub,https://www.cisco.com/c/m/en_us/about/purpose/reporting-hub.html,28.1,4,12,0,6,2,1,3,12,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Environmental Sustainability - Cisco,https://www.cisco.com/site/us/en/about/purpose/environmental-sustainability/index.html,27.3,2,59,1,9,6,1,3,42,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Case Studies and Customer Success Stories - Cisco,https://www.cisco.com/site/us/en/about/case-studies-customer-stories/index.html,24.3,0,53,7,3,1,7,6,119,5,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
BT Creates Platform for Workplace Innovation - Cisco,https://www.cisco.com/c/en/us/about/case-studies-customer-success-stories/bt-group.html,23.9,1,28,1,4,0,15,4,45,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Our People - Cisco,https://www.cisco.com/site/us/en/about/purpose/our-people.html,23.0,2,6,0,3,0,17,1,3,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
The Trust Center - Cisco,https://www.cisco.com/c/en/us/about/trust-center.html,21.7,2,16,0,0,4,1,2,29,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Secure Access Service Edge (SASE) Connect Anywhere - Cisco,https://www.cisco.com/site/us/en/solutions/secure-access-service-edge-sase/index.html,20.5,0,36,2,5,6,5,3,52,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
"Cisco SD-WAN for a secure, future-ready workplace - Cisco",https://www.cisco.com/site/us/en/solutions/networking/sdwan/index.html,20.5,1,31,1,2,0,0,6,54,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Certifications - Cisco,https://www.cisco.com/site/us/en/learn/training-certifications/certifications/index.html,20.0,0,17,1,5,4,17,3,96,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
FAQ | Cisco Insider | Product & Experience Programs - Cisco,https://www.cisco.com/c/en/us/about/cisco-insider/faq.html,19.3,0,26,2,59,0,1,6,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Austin's Future-Proofed Workplace | Case Study - Cisco,https://www.cisco.com/site/us/en/solutions/cisco-on-cisco/cisco-austin.html,19.2,0,16,2,2,3,10,1,20,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Professional Services - Cisco,https://www.cisco.com/c/m/en_us/customer-experience/advanced-services.html,18.8,0,15,0,4,0,0,5,22,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Human Rights at Cisco | Cisco Purpose Reporting Hub,https://www.cisco.com/c/m/en_us/about/csr/esg-hub/trust/human-rights.html,18.7,0,10,1,3,2,8,2,10,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Secure AI Factory with NVIDIA - Cisco,https://www.cisco.com/site/us/en/solutions/artificial-intelligence/secure-ai-factory/index.html,18.7,0,43,3,1,0,16,2,62,5,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco on Cisco | Real-Life Success Stories - Cisco,https://www.cisco.com/site/us/en/solutions/cisco-on-cisco/index.html,18.6,0,26,0,3,1,4,2,25,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Voluntary Product Accessibility Templates - Cisco,https://www.cisco.com/c/en/us/about/accessibility/voluntary-product-accessibility-templates.html,18.5,1,29,1,3,0,0,1,126,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Realizing the Value of AI - Cisco,https://www.cisco.com/c/m/en_us/solutions/ai/readiness-index/realizing-the-value-of-ai.html,18.4,0,7,0,9,3,2,7,26,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Partner Solutions - Cisco,https://www.cisco.com/c/en/us/about/accessibility/partner-solutions.html,17.7,0,29,2,0,0,12,2,22,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Frequently Asked Questions - Cisco,https://www.cisco.com/c/en/us/about/accessibility/q-a.html,17.4,0,45,1,8,2,3,3,39,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
What is cybersecurity? - Cisco,https://www.cisco.com/site/us/en/learn/topics/security/what-is-cybersecurity.html,17.4,0,40,0,6,2,3,0,32,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Wireless Networking - Wi-Fi and Mobility Solutions - Cisco,https://www.cisco.com/site/us/en/products/networking/wireless/index.html,17.2,0,25,0,3,2,2,5,30,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Responsible Innovation - Cisco,https://www.cisco.com/site/us/en/about/purpose/responsible-innovation.html,17.0,1,9,0,0,0,1,1,12,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
"AI Infrastructure, Secure Networking, and Software Solutions - Cisco",https://www.cisco.com/,17.0,0,11,0,1,1,5,4,36,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Accessibility at Cisco - Cisco,https://www.cisco.com/c/en/us/about/accessibility.html,16.9,0,50,2,1,0,4,1,21,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Products - Cisco,https://www.cisco.com/c/en/us/about/accessibility/products.html,16.2,0,28,1,1,0,0,6,14,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
AI-ready data centers - Cisco,https://www.cisco.com/site/us/en/about/why-cisco/ai-ready-data-centers/index.html,16.0,0,26,1,4,0,1,5,37,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco AI-Ready Infrastructure | Case Study - Cisco,https://www.cisco.com/site/us/en/solutions/cisco-on-cisco/ai-ready-infrastructure.html,15.0,0,10,0,0,0,2,8,35,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Secure Firewall Advanced Threat Protection - Cisco,https://www.cisco.com/site/us/en/products/security/firewalls/index.html,14.6,0,33,0,0,0,1,4,19,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Cisco Networking Products and Solutions - Cisco,https://www.cisco.com/site/us/en/products/networking/index.html,14.5,0,24,2,2,0,1,5,90,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Why Customers Choose Cisco - Cisco,https://www.cisco.com/site/us/en/about/why-cisco/index.html,14.4,0,16,0,1,0,2,1,35,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Future-proofed workplaces - Cisco,https://www.cisco.com/site/us/en/about/why-cisco/future-proofed-workplaces/index.html,14.3,0,14,1,1,2,8,2,21,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
​​Cisco Customer Contract Experience​ - Cisco,https://www.cisco.com/site/us/en/about/legal/contract-experience/index.html,13.5,0,6,0,5,0,0,1,18,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
"Cisco Solutions for Technology, Industry, and Business Needs - Cisco",https://www.cisco.com/site/us/en/solutions/index.html,13.5,0,17,0,0,0,8,0,42,5,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
What Is Wi-Fi 7? Explained - Cisco,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-wi-fi-7.html,13.2,0,25,0,0,0,2,1,18,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
Data Center Hub - Cisco,https://www.cisco.com/site/us/en/solutions/data-center/index.html,13.0,0,9,0,2,1,2,4,46,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Cisco\pages.csv
