title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
J&J Impact Ventures | About us,https://www.jnj.com/impact-ventures/about,30.7,3,62,2,8,30,12,2,10,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Our company | Johnson & Johnson,https://www.jnj.com/our-company,30.3,8,37,3,0,3,21,4,14,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Suppliers,https://www.jnj.com/suppliers,28.1,3,23,0,4,1,6,6,7,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Our Credo and our purpose,https://www.jnj.com/credo-purpose,26.8,23,20,0,0,4,4,5,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
J&J CareCommunity | Empowering nurses & health workers worldwide,https://www.jnj.com/j-j-care-community,25.4,0,92,0,8,11,13,2,4,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
ESG resources,https://www.jnj.com/esg-resources,24.9,2,38,1,8,0,10,4,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Our leadership team,https://www.jnj.com/our-leadership-team,24.6,0,30,10,5,9,3,3,11,4,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Neuroscience,https://www.jnj.com/innovativemedicine/neuroscience,24.2,1,7,2,5,0,0,4,10,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Environmental sustainability,https://www.jnj.com/our-societal-impact/global-environmental-sustainability,23.9,3,53,0,2,1,6,3,5,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Eugene A. Woods,https://www.jnj.com/leadership/eugene-a-woods,23.4,0,28,5,3,2,7,4,5,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Supplier-enabled innovation,https://www.jnj.com/suppliers/supplier-enabled-innovation,22.2,2,18,0,2,0,3,3,16,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Global health equity news & press releases,https://www.jnj.com/global-health-equity/news-press-releases,21.8,2,53,0,0,5,6,2,5,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Johnson & Johnson: Changing health for humanity,https://www.jnj.com/,21.2,1,19,0,2,2,10,3,11,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Kristen Mulholland,https://www.jnj.com/leadership/kristen-mulholland,21.0,0,9,2,2,0,7,2,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Global health equity,https://www.jnj.com/global-health-equity,20.2,0,78,0,2,4,12,2,3,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Vanessa Broadhurst,https://www.jnj.com/leadership/vanessa-broadhurst,19.2,0,11,3,3,1,2,4,1,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
J&J CareCommunity: Strengthening community health,https://www.jnj.com/j-j-care-community/strengthening-community-health,18.9,0,51,0,1,0,5,2,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Our Credo | Johnson & Johnson,https://www.jnj.com/our-credo,18.9,20,3,2,0,0,0,2,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Mark B. McClellan,https://www.jnj.com/leadership/mark-b-mcclellan,18.7,0,17,4,2,0,3,2,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
James Swanson,https://www.jnj.com/james-swanson,18.7,0,9,4,0,0,4,2,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
"Jennifer Taubert | EVP, Worldwide Chairman, Innovative Medicine| J&J",https://www.jnj.com/leadership/jennifer-taubert,18.6,0,10,2,2,0,4,3,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Supplier resources,https://www.jnj.com/suppliers/supplier-resources,18.4,3,21,0,0,1,9,2,4,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Caring & Giving: Johnson & Johnson's Commitment,https://www.jnj.com/caring-and-giving,18.2,1,17,0,0,1,2,3,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
Disaster relief,https://www.jnj.com/our-societal-impact/disaster-relief,18.0,0,29,2,2,0,4,3,5,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Johnson_&_Johnson\pages.csv
