title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
About Netflix - Sustainability,https://about.netflix.com/en/sustainability,15.3,0,12,0,3,1,0,2,8,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
About Netflix - Made In America,https://about.netflix.com/en/impact/made-in-america,15.3,0,3,1,4,7,4,0,4,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
About Netflix - Impact,https://about.netflix.com/en/impact,14.7,0,9,0,3,1,3,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
Work Life Philosophy - Careers at Netflix,https://jobs.netflix.com/work-life-philosophy,14.6,0,19,0,7,0,24,0,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
About Netflix - Inclusion,https://about.netflix.com/en/inclusion,12.5,0,30,0,1,0,4,0,3,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
About Netflix - Building a Legacy of Inclusion,https://about.netflix.com/en/programs,11.9,0,7,0,4,3,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
Inclusion at Netflix - Careers at Netflix,https://jobs.netflix.com/inclusion,11.6,0,8,0,0,0,8,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
Netflix Culture Memo - Careers at Netflix,https://jobs.netflix.com/culture,8.8,0,3,0,0,0,9,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
About Netflix - About Us,https://about.netflix.com/en/leadership,8.2,0,1,1,1,0,2,0,2,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
About Netflix - Homepage,https://about.netflix.com/en,5.3,0,0,0,1,0,1,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
Join Us | Careers at Netflix,https://jobs.netflix.com/,4.2,0,1,0,0,1,5,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
Netflix Office Locations - Careers at Netflix,https://jobs.netflix.com/locations,4.1,0,2,0,0,0,3,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Netflix\pages.csv
2023_10K_2023-01-26_full_submission,,2.8,0,1,0,0,0,0,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\NFLX\2023_10K_2023-01-26_full_submission.txt
2024_10K_2024-01-26_full_submission,,2.8,0,1,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\NFLX\2024_10K_2024-01-26_full_submission.txt
2025_10K_2025-01-27_full_submission,,2.8,0,1,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\NFLX\2025_10K_2025-01-27_full_submission.txt
2026_10K_2026-01-23_full_submission,,2.8,0,1,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\NFLX\2026_10K_2026-01-23_full_submission.txt
