title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
DGX-Ready Colocation Data Centers | NVIDIA,https://www.nvidia.com/en-us/data-center/colocation-partners,26.2,0,45,0,10,6,7,6,126,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Run Models for AI Factories |Mission Control | NVIDIA,https://www.nvidia.com/en-us/data-center/mission-control,24.3,1,26,2,0,2,9,7,47,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA Enterprise Reference Architectures Power AI factories,https://www.nvidia.com/en-us/technologies/enterprise-reference-architecture,22.7,0,24,6,5,3,10,10,85,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
DGX BasePOD: The Infrastructure Foundation for Enterprise AI | NVIDIA,https://www.nvidia.com/en-us/data-center/dgx-basepod,21.4,2,16,0,0,4,9,6,97,5,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Benefits and Support Programs | NVIDIA Benefits,https://www.nvidia.com/en-us/benefits,18.9,0,19,0,7,2,31,0,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
"Life, Culture, Career at NVIDIA",https://www.nvidia.com/en-us/about-nvidia/careers/life-at-nvidia,18.0,0,14,0,3,6,35,0,9,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Diversity and Inclusion Support and Resources | NVIDIA,https://www.nvidia.com/en-us/about-nvidia/careers/diversity-and-inclusion,17.7,0,12,0,2,0,6,1,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA: MLPerf AI Benchmarks,https://www.nvidia.com/en-us/data-center/resources/mlperf-benchmarks,17.6,0,7,2,0,4,26,29,41,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA Partner Network (NPN) | NVIDIA,https://www.nvidia.com/en-us/about-nvidia/partners,17.5,0,14,0,11,5,10,1,83,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Sustainable Computing Solutions | NVIDIA,https://www.nvidia.com/en-us/data-center/sustainable-computing,17.2,0,46,0,1,7,6,5,53,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
MLOps Ecosystem for Data Center | NVIDIA,https://www.nvidia.com/en-us/data-center/solutions/mlops,16.8,0,12,0,2,3,12,4,41,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
University Recruiting and Early-Talent Programs | NVIDIA Career,https://www.nvidia.com/en-us/about-nvidia/careers/university-recruiting,16.7,0,7,0,14,0,11,1,17,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Scale and Serve Generative AI | NVIDIA Dynamo,https://www.nvidia.com/en-us/ai/dynamo,16.7,0,16,0,1,2,7,4,26,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
DGX Platform: Built for Enterprise AI | NVIDIA,https://www.nvidia.com/en-us/data-center/dgx-platform,16.7,0,13,0,3,3,10,7,88,6,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA DLSS 5 Delivers AI-Powered Breakthrough In Visual Fidelity For Games,https://www.nvidia.com/en-us/geforce/news/dlss5-breakthrough-in-visual-fidelity-for-games,16.6,0,11,1,2,0,0,5,27,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
World Leader in Artificial Intelligence Computing | NVIDIA,https://www.nvidia.com/en-us,16.4,0,26,1,2,0,16,13,36,7,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Data Center Solutions: AI Factories | NVIDIA,https://www.nvidia.com/en-us/solutions/ai-factories,16.1,0,9,0,3,5,9,10,63,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
What are Vision-Language Models? | NVIDIA Glossary,https://www.nvidia.com/en-us/glossary/vision-language-models,15.7,0,8,0,0,3,10,6,13,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
AI Solutions for Game Development,https://www.nvidia.com/en-us/industries/game-development,15.7,0,23,1,3,2,6,2,26,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
cuOpt | Decision Optimization | NVIDIA,https://www.nvidia.com/en-us/ai-data-science/products/cuopt,15.6,0,16,0,6,10,8,0,20,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
AI Cybersecurity Solutions for your Business | NVIDIA,https://www.nvidia.com/en-us/solutions/ai/cybersecurity,15.3,0,26,0,0,1,15,5,38,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Metropolis: Intelligent Vision AI for Smart Infrastructure | NVIDIA,https://www.nvidia.com/en-us/autonomous-machines/intelligent-video-analytics-platform,15.1,0,18,0,2,1,15,3,36,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Best of NVIDIA GTC: AI Breakthroughs and Recommended Sessions | NVIDIA GTC,https://www.nvidia.com/gtc,15.0,0,8,1,3,1,12,3,12,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
The Engine Behind AI Factories | NVIDIA Blackwell Architecture,https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture,14.7,0,20,0,0,2,6,5,26,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA NIM Microservices for Accelerated AI Inference | NVIDIA,https://www.nvidia.com/en-us/ai-data-science/products/nim-microservices,14.6,0,26,0,2,1,6,7,50,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Agentic AI Solutions | Transform Your Business With NVIDIA Agentic AI,https://www.nvidia.com/en-us/solutions/ai/agentic-ai,14.3,0,15,0,0,0,10,7,21,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Robotics Research | NVIDIA,https://www.nvidia.com/en-us/research/robotics,14.1,0,12,0,6,0,5,0,8,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
"Legal Notices Trademarks, Licenses, and More | NVIDIA",https://www.nvidia.com/en-us/about-nvidia/terms-of-service,14.0,0,11,0,1,0,4,2,27,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
AI Solutions for Industries | NVIDIA,https://www.nvidia.com/en-us/industries,14.0,0,12,0,1,1,6,4,17,8,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Trustworthy AI For A Better World | NVIDIA,https://www.nvidia.com/en-us/ai-trust-center/trustworthy-ai,13.9,0,10,0,2,3,12,3,17,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
"NeMo | Build, monitor, and optimize AI agents | NVIDIA",https://www.nvidia.com/en-us/gpu-cloud/nemo-llm-service,13.7,0,15,0,1,4,31,4,24,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Develop Physical AI Applications | NVIDIA Omniverse,https://www.nvidia.com/en-us/omniverse,13.6,0,12,0,1,0,5,10,32,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
"DLSS 4.5 and Path Tracing Coming To 007 First Light, CONTROL Resonant, Tides of Annihilation & More. Plus, DLSS 4.5 Dynamic Multi Frame Gen Available March 31",https://www.nvidia.com/en-us/geforce/news/dlss-4-5-rtx-path-tracing-game-announcements-gdc-2026,13.3,0,13,0,1,0,2,54,65,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Safe AI Automation and Robot Safety for Industrial Operations | NVIDIA Use Cases,https://www.nvidia.com/en-us/use-cases/functional-safety-ai-agents-industrial-robots,13.2,0,9,0,0,2,30,2,11,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
FY25 Foundation Annual Report | NVIDIA,https://www.nvidia.com/en-us/foundation/reports,13.0,0,3,0,0,5,7,1,3,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Rack-Scale Agentic AI Supercomputer | NVIDIA Vera Rubin NVL72,https://www.nvidia.com/en-us/data-center/vera-rubin-nvl72,12.6,0,5,0,1,6,8,3,18,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA NGC | NVIDIA,https://www.nvidia.com/en-us/gpu-cloud,12.4,0,15,0,0,0,4,7,45,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
High-Performance Spectrum Ethernet Platform for AI Networking | NVIDIA,https://www.nvidia.com/en-us/networking/products/ethernet,12.2,0,10,0,1,4,1,4,78,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Privacy Center | NVIDIA,https://www.nvidia.com/en-us/about-nvidia/privacy-center,12.2,0,7,0,1,2,4,0,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Corporate Sustainability | NVIDIA,https://www.nvidia.com/en-us/csr,12.1,0,15,0,0,2,8,0,6,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA.com Accessibility Help | NVIDIA Support,https://www.nvidia.com/en-us/about-nvidia/accessibility,12.1,0,14,0,0,2,2,0,7,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Physical AI with World Foundation Models | NVIDIA Cosmos,https://www.nvidia.com/en-us/ai/cosmos,11.9,0,9,0,0,2,15,3,46,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Data Centers Built for Advanced AI Reasoning | NVIDIA,https://www.nvidia.com/en-us/data-center,11.9,0,9,0,0,2,3,6,54,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
What Is a Digital Twin? | NVIDIA Glossary,https://www.nvidia.com/en-us/glossary/digital-twin,11.9,0,17,0,0,0,8,2,33,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Download NVIDIA App for Gamers and Creators | NVIDIA,https://www.nvidia.com/en-us/software/nvidia-app,11.9,0,13,0,0,2,2,1,10,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
DLSS 4.5 Dynamic Multi Frame Generation & Multi Frame Generation 6X Available Now,https://www.nvidia.com/en-us/geforce/news/dlss-4-5-dynamic-multi-frame-generation-6x-mode-released,11.8,0,29,0,0,0,1,3,46,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
Computer-Aided Engineering (CAE) Solutions | NVIDIA,https://www.nvidia.com/en-us/solutions/cae,11.8,0,13,0,2,2,2,4,37,3,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
AI Innovations Shaping Tomorrow | NVIDIA AI for Good,https://www.nvidia.com/en-us/about-nvidia/ai-for-good,11.6,0,15,0,0,0,0,1,5,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
cuML - GPU-Accelerated Machine Learning | NVIDIA Developer,https://www.nvidia.com/en-us/deep-learning-ai/solutions/machine-learning,11.6,0,10,0,0,1,5,1,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
"NVIDIA Policies, Guidelines, Code of Conduct | NVIDIA",https://www.nvidia.com/en-us/about-nvidia/company-policies,11.4,0,5,0,0,3,3,0,3,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA Tensor Cores | NVIDIA,https://www.nvidia.com/en-us/data-center/tensor-cores,11.4,0,25,0,0,3,8,2,25,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
How We Hire,https://www.nvidia.com/en-us/about-nvidia/careers/how-we-hire,11.3,0,4,0,1,0,3,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
BlueField Networking Platform | NVIDIA,https://www.nvidia.com/en-us/networking/products/data-processing-unit,11.3,0,10,0,1,0,5,7,65,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
NVIDIA Networking Software for AI Performance,https://www.nvidia.com/en-us/networking/products/software,11.2,0,14,0,3,4,1,4,73,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
CUDA-X Data Science Libraries | NVIDIA Developer,https://www.nvidia.com/en-us/deep-learning-ai/solutions/prediction-forecasting,11.0,0,5,0,0,6,4,2,21,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Nvidia\pages.csv
