title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Walmart Foundation,https://corporate.walmart.com/purpose/philanthropy,19.3,0,18,1,4,3,2,2,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Walmart Careers,https://corporate.walmart.com/careers,19.2,0,12,1,6,2,10,0,3,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Health & Wellness,https://corporate.walmart.com/purpose/health-wellness,11.8,0,7,1,0,0,1,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Sustainability,https://corporate.walmart.com/purpose/sustainability,11.6,1,4,1,0,1,0,0,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Purpose,https://corporate.walmart.com/purpose,10.6,0,3,1,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Working at Walmart,https://corporate.walmart.com/about/working-at-walmart,10.1,0,1,1,3,0,8,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Community,https://corporate.walmart.com/purpose/community,9.7,0,2,1,0,2,0,0,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
"Walmart Corporate News, Purpose & Leadership",https://corporate.walmart.com/,9.6,0,0,2,1,4,2,2,1,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Responsible Sourcing,https://corporate.walmart.com/purpose/sustainability/people/responsible-sourcing,9.5,0,2,1,0,1,2,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Opportunity,https://corporate.walmart.com/purpose/opportunity,9.5,0,4,1,0,2,0,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
ESG & Shared Value Reporting,https://corporate.walmart.com/investors/esg-investors,9.0,0,4,1,2,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
"Ralph Clare, Executive Vice President, Health & Wellness, Walmart U.S.",https://corporate.walmart.com/about/leadership/ralph-clare,8.8,0,3,2,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
"Donna Morris, Executive Vice President and Chief People Officer, Walmart Inc.",https://corporate.walmart.com/about/leadership/donna-morris,8.6,0,0,2,1,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
Walmart International,https://corporate.walmart.com/about/international,8.6,0,2,1,1,1,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
"Elizabeth Norton, Senior Vice President and Chief Counsel, Growth, Walmart Inc.",https://corporate.walmart.com/about/leadership/elizabeth-norton,8.5,0,0,2,3,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Walmart\pages.csv
